Group,TL,B,P/B,Q/B,BA,Catch,Unassim,EE
Phytoplankton,1.00,19.77,166.13,0.00,0.00,0.00,0.00,0.91
Bacteria,2.00,4.26,91.25,380.21,0.00,0.00,0.20,0.95
AtlScallop,2.08,2.02,1.20,6.66,0.00,0.10,0.30,0.38
OceanQuahog,2.08,9.74,1.20,6.66,0.00,0.00,0.30,0.30
SurfClam,2.08,4.06,1.20,6.66,0.00,0.04,0.20,0.31
SmCopepods,2.18,14.92,37.50,140.53,0.00,0.00,0.40,0.95
Microzooplankton,2.32,6.20,72.00,242.42,0.00,0.00,0.40,0.92
Macrobenthos,2.36,34.67,2.40,12.63,0.00,0.00,0.30,0.85
LgCopepods,2.56,7.07,40.98,136.88,0.00,0.00,0.40,0.95
OtherShrimps,2.63,1.66,2.00,6.60,0.00,0.00,0.30,0.80
Krill,2.93,0.65,14.25,36.50,0.00,0.00,0.20,0.63
Micronekton,2.93,3.16,12.11,41.98,0.00,0.00,0.20,0.79
Megabenthos,3.02,2.35,1.91,15.53,0.00,0.01,0.30,0.80
AmLobster,3.02,0.20,1.50,15.53,0.01,0.01,0.30,0.74
GelZooplankton,3.11,2.62,40.00,143.08,0.00,0.00,0.20,0.62
SmPelagics,3.31,3.28,2.00,5.39,0.00,0.00,0.20,0.80
Mesopelagics,3.36,0.03,1.65,3.70,0.00,0.00,0.20,0.80
WitchFlounder,3.37,0.01,0.40,1.84,0.00,0.00,0.20,0.95
Scup,3.38,0.10,0.45,0.92,0.00,0.01,0.20,0.86
SmFlatfishes,3.41,0.01,1.61,5.39,0.00,0.00,0.20,0.80
WinterFlounder,3.43,0.49,0.57,2.02,0.00,0.12,0.20,0.95
OceanPout,3.44,0.08,0.57,2.00,0.00,0.00,0.20,0.53
Haddock,3.52,1.22,0.40,3.00,0.00,0.11,0.20,0.96
YTFlounder,3.53,0.17,0.92,3.23,-0.01,0.11,0.20,0.91
AtlHerring,3.57,2.05,1.40,3.70,0.00,0.00,0.20,0.81
AmPlaice,3.60,0.06,0.45,4.20,0.00,0.02,0.20,0.88
LittleSkate,3.66,1.76,0.30,1.25,0.00,0.00,0.20,0.08
OtherSkates,3.66,0.06,0.40,1.10,0.00,0.00,0.20,0.80
Butterfish,3.71,2.15,1.31,4.23,0.00,0.01,0.20,0.83
AtlMackerel,3.73,0.06,0.55,2.17,0.00,0.01,0.20,0.96
SouthernDemersals,3.73,0.00,1.13,4.50,0.00,0.00,0.20,0.38
OtherDemersals,3.73,0.60,0.58,1.74,0.00,0.02,0.20,0.90
RiverHerring,3.77,0.02,1.30,9.40,0.00,0.00,0.20,0.00
Redfish,3.77,0.01,0.25,1.50,0.00,0.00,0.20,0.81
Loligo,3.85,0.61,3.00,19.00,0.00,0.08,0.20,0.92
RedHake,3.86,0.68,0.45,0.94,0.00,0.00,0.20,0.76
WinterSkate,3.90,3.07,0.14,0.83,0.00,0.00,0.20,0.77
Illex,3.91,0.28,3.00,19.00,0.00,0.00,0.20,0.76
OtherCephalopods,3.91,0.08,3.00,19.00,0.00,0.00,0.20,0.80
Windowpane,3.93,1.30,0.15,0.90,0.00,0.02,0.20,0.81
BlackSeaBass,3.97,0.02,0.45,1.66,0.00,0.00,0.20,0.83
SmoothDogfish,4.02,0.01,0.45,2.44,0.00,0.00,0.20,0.04
Pollock,4.10,1.02,0.42,2.00,0.00,0.05,0.20,0.19
BaleenWhales,4.14,0.42,0.04,4.50,0.00,0.00,0.20,0.01
Cod,4.14,1.67,0.40,1.20,-0.05,0.43,0.20,0.74
Barndoor,4.18,0.01,0.20,0.83,0.00,0.00,0.20,0.00
Fourspot,4.24,0.08,0.45,1.84,0.00,0.00,0.20,0.59
SpinyDogfish,4.25,4.71,0.27,1.16,0.00,0.00,0.20,0.33
SeaBirds,4.34,0.02,0.28,76.20,0.00,0.00,0.20,0.12
HMS,4.35,0.04,0.68,2.30,0.00,0.00,0.20,0.01
SilverHake,4.41,1.80,0.60,2.00,0.00,0.03,0.20,0.94
OtherPelagics,4.69,0.27,0.75,2.00,0.00,0.00,0.20,0.80
Bluefish,4.69,0.16,0.54,4.27,0.00,0.00,0.20,0.20
Pinnipeds,4.72,0.04,0.07,4.85,0.00,0.00,0.20,0.15
WhiteHake,4.72,0.14,0.43,2.00,0.00,0.01,0.20,0.33
SummerFlounder,4.76,0.03,0.70,3.34,0.00,0.02,0.20,0.99
Goosefish,4.82,0.12,0.35,1.22,0.00,0.02,0.20,0.50
Odontocetes,4.82,0.12,0.04,13.83,0.00,0.00,0.20,0.14
Sharks,4.92,0.02,0.13,0.62,0.00,0.00,0.20,0.36
Detritus,1.00,5842.20,0.50,0.00,0.00,0.00,0.00,0.89
