Predator,Prey,Diet Proportion
SeaBirds,AtlHerring,1.880
SeaBirds,AtlMackerel,0.013
SeaBirds,Butterfish,29.180
SeaBirds,SmPelagics,28.870
SeaBirds,Cod,0.260
SeaBirds,Haddock,0.670
SeaBirds,Goosefish,0.020
SeaBirds,SilverHake,0.140
SeaBirds,RedHake,0.280
SeaBirds,WhiteHake,0.020
SeaBirds,Pollock,0.160
SeaBirds,OceanPout,0.020
SeaBirds,Bluefish,0.040
SeaBirds,Scup,0.050
SeaBirds,OtherDemersals,0.100
SeaBirds,Fourspot,0.060
SeaBirds,AmPlaice,0.010
SeaBirds,Windowpane,0.300
SeaBirds,WinterFlounder,0.360
SeaBirds,YTFlounder,0.130
SeaBirds,SpinyDogfish,2.240
SeaBirds,WinterSkate,1.110
SeaBirds,LittleSkate,0.210
SeaBirds,Illex,0.490
SeaBirds,Loligo,2.690
SeaBirds,OtherShrimps,2.160
SeaBirds,Krill,2.380
SeaBirds,Micronekton,21.670
SeaBirds,LgCopepods,3.430
SeaBirds,Detritus,0.910
SeaBirds,Import,0.117
Pinnipeds,AtlHerring,0.820
Pinnipeds,AtlMackerel,0.006
Pinnipeds,Butterfish,12.720
Pinnipeds,SmPelagics,25.660
Pinnipeds,Cod,2.300
Pinnipeds,Haddock,8.400
Pinnipeds,Goosefish,0.170
Pinnipeds,SilverHake,1.240
Pinnipeds,RedHake,3.520
Pinnipeds,WhiteHake,0.200
Pinnipeds,Redfish,0.040
Pinnipeds,Pollock,1.410
Pinnipeds,OceanPout,0.290
Pinnipeds,Scup,0.670
Pinnipeds,OtherDemersals,1.240
Pinnipeds,Fourspot,0.800
Pinnipeds,SummerFlounder,0.040
Pinnipeds,AmPlaice,0.100
Pinnipeds,Windowpane,3.830
Pinnipeds,WinterFlounder,4.580
Pinnipeds,WitchFlounder,0.030
Pinnipeds,YTFlounder,1.640
Pinnipeds,SmFlatfishes,0.030
Pinnipeds,SpinyDogfish,19.480
Pinnipeds,SmoothDogfish,0.020
Pinnipeds,WinterSkate,2.050
Pinnipeds,LittleSkate,0.390
Pinnipeds,Illex,1.000
Pinnipeds,Loligo,5.550
Pinnipeds,OtherCephalopods,0.010
Pinnipeds,Macrobenthos,1.080
Pinnipeds,OtherShrimps,0.310
Pinnipeds,Krill,0.050
Pinnipeds,Micronekton,0.260
Pinnipeds,Import,0.054
BaleenWhales,AtlHerring,0.930
BaleenWhales,AtlMackerel,0.007
BaleenWhales,Butterfish,14.510
BaleenWhales,SmPelagics,8.100
BaleenWhales,Cod,0.460
BaleenWhales,Haddock,0.510
BaleenWhales,Goosefish,0.030
BaleenWhales,SilverHake,0.250
BaleenWhales,RedHake,0.210
BaleenWhales,WhiteHake,0.040
BaleenWhales,Pollock,0.280
BaleenWhales,OceanPout,0.020
BaleenWhales,Scup,0.040
BaleenWhales,OtherDemersals,0.080
BaleenWhales,Fourspot,0.050
BaleenWhales,SummerFlounder,0.010
BaleenWhales,AmPlaice,0.010
BaleenWhales,Windowpane,0.230
BaleenWhales,WinterFlounder,0.280
BaleenWhales,YTFlounder,0.100
BaleenWhales,SpinyDogfish,3.890
BaleenWhales,WinterSkate,0.920
BaleenWhales,LittleSkate,0.180
BaleenWhales,Illex,0.480
BaleenWhales,Loligo,2.660
BaleenWhales,Krill,8.530
BaleenWhales,Micronekton,41.720
BaleenWhales,LgCopepods,15.390
BaleenWhales,Import,0.063
Odontocetes,AtlHerring,1.380
Odontocetes,AtlMackerel,0.010
Odontocetes,Butterfish,21.410
Odontocetes,SmPelagics,6.580
Odontocetes,Cod,1.640
Odontocetes,Haddock,3.720
Odontocetes,Goosefish,0.120
Odontocetes,SilverHake,0.890
Odontocetes,RedHake,1.560
Odontocetes,WhiteHake,0.140
Odontocetes,Redfish,0.020
Odontocetes,Pollock,0.810
Odontocetes,OceanPout,0.130
Odontocetes,BlackSeaBass,0.200
Odontocetes,Scup,0.300
Odontocetes,OtherDemersals,0.550
Odontocetes,Fourspot,0.360
Odontocetes,SummerFlounder,0.030
Odontocetes,AmPlaice,0.040
Odontocetes,Windowpane,1.690
Odontocetes,WinterFlounder,2.030
Odontocetes,WitchFlounder,0.010
Odontocetes,YTFlounder,0.720
Odontocetes,SmFlatfishes,0.010
Odontocetes,SpinyDogfish,13.890
Odontocetes,SmoothDogfish,0.010
