"","Group","TL","B","PB","QB","BA","Catch","Unassim","EE"
"1","Phytoplankton",1,22.126,163.14,0,0,0,0,0.862583656496907
"2","Bacteria",2,5.484,91.25,380.21,0,0,0.4,0.753924855048542
"3","Microzooplankton",2.32580292931173,4.885,72,242.42,0,0,0.4,0.832945259086086
"4","GelZooplankton",3.08159355131054,1.283,35,146,0,0,0.4,0.798807717704717
"5","LgCopepods",2.41655015356117,9.84865605397604,35,109.5,0,0,0.4,0.753808304731892
"6","SmCopepods",2.17856455171027,12.509343946024,30.92,127.75,0,0,0.4,0.770185353637286
"7","Micronekton",2.84971465976393,3.09483032776,14.25,36.5,0,0,0.2,0.798701616008666
"8","Illex",3.76666881978288,0.350393015527968,3,19,0,0.00204809683926697,0.2,0.985302949838495
"9","Loligo",3.76666881978288,0.0637455755494173,3,19,0,0.000217507506810954,0.2,0.976089320094335
"10","OtherCephalopods",3.76666881978287,0.00521177273141601,3,19,0,0,0.2,0.693360432867232
"11","Macrobenthos",2.4560367752601,23.1136,2.4,12.63,0,2.23664874946216e-06,0.3,0.982609670596294
"12","AmLobster",3.14649825589086,0.25185353306828,1.5,15.53,0.0175025616192223,0.113823867218701,0.3,0.685650646340869
"13","OceanPout",3.46500769687625,0.157349754509541,0.57,2,-0.004,0.00731434102578659,0.2,0.681600633260646
"14","SmPelagics",3.17130468388137,2.79354897873675,2,5.39,0,0.000541406681981173,0.2,0.811671247147817
"15","SmFlatfishes",3.58529139727096,0.000748958680911673,1.61,5.39,0,0,0.2,0.273325644754479
"16","NShrimp",2.89346488429059,0.442188325175928,1.45,9.67,0.00558878592844065,0.0363965922825095,0.2,0.384949799284684
"17","OtherShrimps",2.89346488429059,2.56980463138529,2,6.6,0,0,0.3,0.789945619193367
"18","RiverHerring",3.61792578619799,0.58047584854897,1.3,9.4,0.00528049989700744,0.00981507021532539,0.2,0.476020980314157
"19","AtlScallop",2.1188099,0.0513972739139256,1.2,6.66,0.00143655627249214,0.000859849596098158,0.3,0.846605684584652
"20","OtherPelagics",4.55510721839791,0.446841096470877,0.75,2,0,0.158699532845839,0.2,0.967568051425244
"21","AtlHerring",3.76735014883155,3.08430544290179,1.4,3.7,0.270682805412288,0.569193601010887,0.2,0.999108657422853
"22","Mesopelagics",3.37461961975109,0.0105822280336885,1.65,3.7,0,0,0.2,0.495939989516095
"23","YTFlounder",3.51043822094262,0.0434547794307225,0.92,3.23,0,0.0263052177123316,0.2,0.951357110789795
"24","Cod",4.38716639607443,1.99645092794453,0.4,1.2,-0.0468892793326574,0.174612037046384,0.2,0.758122934765441
"25","Haddock",3.65577098348821,1.21334782648279,0.4,3,0.0470489975812138,0.0655991051409278,0.2,0.762939692918206
"26","AmPlaice",3.51055869318914,0.653479947386868,0.45,4.2,-0.00296042622844167,0.134193364813858,0.2,0.965470590470802
"27","AtlMackerel",3.65359776727633,0.925115831957422,0.55,2.17,0.0049136685208035,0.00892264349130514,0.2,0.933505536069585
"28","AtlHalibut",4.44070664405123,0.0150173694305186,0.23,1.53,0,0.000669108771691752,0.2,0.839342949240221
"29","SummerFlounder",4.82349063851857,0.00819195344327615,0.7,3.34,0,0.00229589331455208,0.2,0.455252027383293
"30","Cusk",4.31801475877628,0.195865586383785,0.52,1.74,-0.00471455505508819,0.0183640856964916,0.2,0.441443763008396
"31","OtherDemersals",3.62431276572289,1.12059118806577,0.58,1.74,0.00286792397186411,0.01721242721895,0.2,0.912023575244055
"32","HMS",4.33966974010818,0.00587,0.5,2.36,0,0,0.2,0.0208884152258944
"33","OtherSkates",4.01204145347586,0.410229597465738,0.4,1.1,-0.0359973409770151,0.0038278650957715,0.2,0.55776560276304
"34","RedHake",4.05042054941875,0.766523082146475,0.45,0.94,0.00739798334913695,0.0158086730592932,0.2,0.914149782817988
"35","Barndoor",4.03784755898381,2.5e-05,0.2,0.83,4.03068624113821e-06,0,0.2,0.806137248227641
"36","Fourspot",4.22941878799254,0.00810379404276586,0.45,1.84,0,6.19638845760087e-05,0.2,0.91961258042661
"37","SmoothDogfish",3.96490508501709,0.00331000567003176,0.45,2.44,0,6.04185636218349e-07,0.2,0.000405629138133472
"38","Pollock",4.23762097411125,1.02955005251116,0.42,2,-0.0690193188979845,0.140817716160621,0.2,0.393193345657126
"39","Goosefish",4.93723449096186,0.283685221585256,0.35,1.22,-0.00491822710765067,0,0.2,0.605278568865913
"40","SilverHake",4.2679444291518,2.80390980410353,0.6,2,0.034535270733466,0.0889750341412426,0.2,0.984467995974729
"41","WhiteHake",4.53278518022859,1.36801568806109,0.43,2,-0.0198508700911015,0.0611819245781798,0.2,0.595082705428297
"42","SpinyDogfish",4.38917331649107,1.01661924596706,0.27,1.16,0.167912435195864,0.0624033110161966,0.2,0.875726632124966
"43","Redfish",3.998903212446,1.41798959491704,0.25,1.5,0.0379976567962473,0.0603883422369463,0.2,0.958777584858436
"44","LittleSkate",3.7601829402818,0.0668299682933056,0.3,1.245,0,0.000792863078237191,0.2,0.4825512792057
"45","SeaBirds",4.3215660773231,0.0035,0.28,70,0,0,0.2,0.242856704435048
"46","Windowpane",3.86909653975843,0.033519469,0.15,0.9,0,0.00139721123587992,0.2,0.872266604426534
"47","WinterFlounder",3.4940268227815,0.266075424525196,0.57,2.024,0,0,0.2,0.350272729068314
