Predator,Prey,Diet Percentage
AmLobster,AmLobster,0.097
AmLobster,AmPlaice,0.039
AmLobster,AtlHalibut,0.001
AmLobster,AtlScallop,0.013
AmLobster,Bacteria,14.184
AmLobster,BlackSeaBass,1.71E-04
AmLobster,Cod,0.164
AmLobster,Cusk,0.016
AmLobster,Detritus,18.085
AmLobster,Fourspot,4.12E-04
AmLobster,Haddock,0.102
AmLobster,LgCopepods,0.412
AmLobster,LittleSkate,0.004
AmLobster,Macrobenthos,61.061
AmLobster,Megabenthos,5.019
AmLobster,OceanPout,0.003
AmLobster,OtherDemersals,0.018
AmLobster,OtherSkates,0.086
AmLobster,Redfish,0.036
AmLobster,RedHake,0.034
AmLobster,SmCopepods,0.588
AmLobster,SummerFlounder,1.65E-04
AmLobster,Windowpane,0.001
AmLobster,WinterFlounder,0.008
AmLobster,WinterSkate,0.010
AmLobster,WitchFlounder,0.014
AmLobster,YTFlounder,0.003
AmPlaice,AtlScallop,0.280
AmPlaice,GelZooplankton,0.048
AmPlaice,Krill,1.097
AmPlaice,LgCopepods,1.86E-04
AmPlaice,Macrobenthos,89.272
AmPlaice,Megabenthos,1.205
AmPlaice,Micronekton,2.407
AmPlaice,NShrimp,0.775
AmPlaice,OtherDemersals,0.203
AmPlaice,OtherShrimps,3.737
AmPlaice,Redfish,0.286
AmPlaice,RedHake,0.165
AmPlaice,SilverHake,0.525
AtlHalibut,AmLobster,1.571
AtlHalibut,AmPlaice,3.141
AtlHalibut,AtlHerring,6.929
AtlHalibut,Cod,1.766
AtlHalibut,Haddock,2.262
AtlHalibut,Illex,6.855
AtlHalibut,Krill,0.126
AtlHalibut,Loligo,0.151
AtlHalibut,Macrobenthos,0.337
AtlHalibut,Megabenthos,16.880
AtlHalibut,Micronekton,3.858
AtlHalibut,NShrimp,2.771
AtlHalibut,OceanPout,8.837
AtlHalibut,OtherCephalopods,4.552
AtlHalibut,OtherDemersals,13.251
AtlHalibut,OtherShrimps,5.467
AtlHalibut,Redfish,1.759
AtlHalibut,RedHake,0.075
AtlHalibut,RiverHerring,0.739
AtlHalibut,SilverHake,11.144
