pred,prey,prop
AmLobster,AmLobster,0.057474522
AmLobster,AtlCroaker,0.054829639
AmLobster,AtlScallop,0.830677241
AmLobster,Bacteria,19.21818
AmLobster,BlackSeaBass,0.00174975
AmLobster,Cod,4.28E-05
AmLobster,Fourspot,0.015009094
AmLobster,Goosefish,0.000191014
AmLobster,LgCopepods,0.312471076
AmLobster,LittleSkate,0.030879131
AmLobster,Macrobenthos,47.065229
AmLobster,Megabenthos,6.858970237
AmLobster,OceanPout,0.002142813
AmLobster,OtherDemersals,0.024556883
AmLobster,OtherSkates,0.15804998
AmLobster,RedHake,0.032139972
AmLobster,Scup,0.031628567
AmLobster,SilverHake,0.000364048
AmLobster,SmCopepods,0.687528924
AmLobster,SmFlatfishes,0.000786187
AmLobster,SmoothDogfish,0.000590147
AmLobster,SouthernDemersals,0.058882176
AmLobster,SpinyDogfish,0.002811645
AmLobster,SummerFlounder,0.000100334
AmLobster,Weakfish,0.017133068
AmLobster,Windowpane,0.005559457
AmLobster,WinterFlounder,0.007955601
AmLobster,WinterSkate,0.010695639
AmLobster,YTFlounder,0.010176943
AmLobster,Detritus,24.503182
RiverHerring,GelZooplankton,0.043082796
RiverHerring,LgCopepods,36.88196607
RiverHerring,Macrobenthos,24.82629138
RiverHerring,Megabenthos,0.203038689
RiverHerring,Micronekton,10.53984237
RiverHerring,OtherCephalopods,0.042789145
RiverHerring,OtherDemersals,0.043837899
RiverHerring,OtherShrimps,3.898049173
RiverHerring,Phytoplankton,0.009229031
RiverHerring,SilverHake,0.28014305
RiverHerring,SmPelagics,3.812261132
RiverHerring,Krill,19.41946926
AtlCroaker,AmLobster,0.202924607
AtlCroaker,Butterfish,0.091992489
AtlCroaker,GelZooplankton,0.077787766
AtlCroaker,LgCopepods,0.041937752
AtlCroaker,Loligo,1.978822382
AtlCroaker,Macrobenthos,80.01361987
AtlCroaker,Megabenthos,8.449586945
AtlCroaker,Micronekton,1.791188452
AtlCroaker,OtherCephalopods,0.987627914
AtlCroaker,OtherDemersals,1.089028726
AtlCroaker,OtherShrimps,1.107840452
AtlCroaker,SmFlatfishes,0.067641536
AtlCroaker,SmPelagics,3.021118616
AtlCroaker,SurfClam,0.953745654
AtlCroaker,Krill,0.125136841
AtlMackerel,Butterfish,0.006710271
AtlMackerel,GelZooplankton,1.027200103
AtlMackerel,Illex,0.147625955
AtlMackerel,LgCopepods,3.541902102
AtlMackerel,Loligo,3.782579584
AtlMackerel,Macrobenthos,15.77620466
AtlMackerel,Megabenthos,0.112956223
AtlMackerel,Mesopelagics,0.178940552
AtlMackerel,Micronekton,4.657273291
AtlMackerel,OtherCephalopods,1.916005956
AtlMackerel,OtherDemersals,0.464127056
AtlMackerel,OtherShrimps,1.494086503
AtlMackerel,SmCopepods,60
AtlMackerel,SmFlatfishes,0.015657298
AtlMackerel,SmPelagics,2.50322947
AtlMackerel,Krill,4.348212538
AtlScallop,Bacteria,8
AtlScallop,Phytoplankton,69
AtlScallop,Detritus,23
Bacteria,Phytoplankton,15
Bacteria,Detritus,85
BaleenWhales,RiverHerring,0.189049241
BaleenWhales,AtlCroaker,0.32222791
BaleenWhales,AtlMackerel,0.145644731
BaleenWhales,BlackSeaBass,0.009578704
BaleenWhales,Butterfish,15.17502603
BaleenWhales,Cod,0.051890797
BaleenWhales,Fourspot,0.088206835
BaleenWhales,Goosefish,0.231523763
BaleenWhales,Illex,0.429245181
BaleenWhales,LgCopepods,15.3928
BaleenWhales,LittleSkate,0.169042481
BaleenWhales,Loligo,2.713431036
BaleenWhales,Micronekton,46.47990875
BaleenWhales,OceanPout,0.012593085
BaleenWhales,OtherCephalopods,0.000276782
BaleenWhales,OtherDemersals,0.144318171
BaleenWhales,OtherSkates,0.86521738
BaleenWhales,RedHake,0.188883169
BaleenWhales,Scup,0.185877698
BaleenWhales,SilverHake,0.441255492
BaleenWhales,SmFlatfishes,0.004620337
BaleenWhales,SmoothDogfish,0.715305495
BaleenWhales,SmPelagics,4.805105501
BaleenWhales,SouthernDemersals,0.346044238
BaleenWhales,SpinyDogfish,3.407936238
BaleenWhales,SummerFlounder,0.121613215
BaleenWhales,Weakfish,0.100689207
BaleenWhales,Windowpane,0.03267233
BaleenWhales,WinterFlounder,0.046754217
BaleenWhales,WinterSkate,0.058551435
BaleenWhales,YTFlounder,0.059808802
BaleenWhales,Krill,3.76864125
BaleenWhales,AtlMenhaden,3.296255499
BlackSeaBass,AmLobster,0.291512795
BlackSeaBass,AtlScallop,0.394248599
BlackSeaBass,BlackSeaBass,0.260827238
BlackSeaBass,Butterfish,2.555723361
BlackSeaBass,GelZooplankton,0.206500411
BlackSeaBass,Illex,0.337541131
BlackSeaBass,LgCopepods,0.009842671
BlackSeaBass,Loligo,4.691089456
BlackSeaBass,Macrobenthos,25.57080109
BlackSeaBass,Megabenthos,50.76284561
BlackSeaBass,Mesopelagics,0.375116991
BlackSeaBass,Micronekton,0.997142251
BlackSeaBass,OceanQuahog,0.030685557
BlackSeaBass,OtherCephalopods,1.480201549
BlackSeaBass,OtherDemersals,4.717404414
BlackSeaBass,OtherShrimps,1.223472088
BlackSeaBass,RedHake,0.069042504
BlackSeaBass,Scup,1.710343229
BlackSeaBass,Sharks,0.061371115
BlackSeaBass,SilverHake,0.026849863
BlackSeaBass,SmFlatfishes,0.032219835
BlackSeaBass,SmPelagics,2.725672531
BlackSeaBass,SouthernDemersals,0.032367684
BlackSeaBass,SurfClam,0.492503196
BlackSeaBass,Windowpane,0.068107989
BlackSeaBass,Krill,0.87656684
Bluefish,RiverHerring,0.495182268
Bluefish,AtlCroaker,0.174439208
Bluefish,AtlMackerel,1.223905448
Bluefish,BlackSeaBass,0.068425186
Bluefish,Bluefish,6.561165049
Bluefish,Butterfish,12.75629055
Bluefish,GelZooplankton,0.73631557
Bluefish,Illex,1.615206393
Bluefish,LgCopepods,4.09E-06
Bluefish,LittleSkate,0.425406585
Bluefish,Loligo,19.92577594
Bluefish,Macrobenthos,11.50803728
Bluefish,Megabenthos,0.606851169
Bluefish,Mesopelagics,0.153320298
Bluefish,Micronekton,0.221853933
Bluefish,OceanPout,0.830325834
Bluefish,OceanQuahog,0.017331379
Bluefish,OtherCephalopods,0.131129406
Bluefish,OtherDemersals,2.946797129
Bluefish,OtherPelagics,0.89694083
Bluefish,OtherShrimps,0.059962071
Bluefish,OtherSkates,0.011254142
Bluefish,RedHake,0.937542502
Bluefish,Scup,3.037990276
Bluefish,SilverHake,1.30547234
Bluefish,SmFlatfishes,0.162059651
Bluefish,SmPelagics,23.83732259
Bluefish,SouthernDemersals,0.804159633
Bluefish,SpinyDogfish,0.257776133
Bluefish,SummerFlounder,0.59646955
Bluefish,Weakfish,0.92229539
Bluefish,Windowpane,0.461913104
Bluefish,WinterFlounder,0.225082849
Bluefish,YTFlounder,0.112541425
Bluefish,Krill,0.169262302
Bluefish,AtlMenhaden,5.756669326
Butterfish,GelZooplankton,34.93308023
Butterfish,Illex,0.393770486
Butterfish,LgCopepods,1.953504333
Butterfish,Loligo,2.231158248
Butterfish,Macrobenthos,40.83993106
Butterfish,Megabenthos,0.429356599
Butterfish,Micronekton,13.52717246
Butterfish,OtherCephalopods,0.320329525
Butterfish,OtherShrimps,0.545212826
Butterfish,Phytoplankton,1.831820303
Butterfish,Krill,2.994663927
Cod,AmLobster,0.201026454
Cod,RiverHerring,0.885431756
Cod,AtlMackerel,3.117494314
Cod,AtlScallop,3.044361779
Cod,BlackSeaBass,0.02112362
Cod,Cod,0.369663357
Cod,Fourspot,0.211236204
Cod,GelZooplankton,0.015711493
Cod,Goosefish,0.295730686
Cod,LgCopepods,0.011675601
Cod,LittleSkate,1.163559425
Cod,Macrobenthos,21.5897711
Cod,Megabenthos,16.26496048
Cod,Micronekton,1.16429075
Cod,OceanPout,3.481467096
Cod,OceanQuahog,3.131224667
Cod,OtherCephalopods,0.429568025
Cod,OtherDemersals,6.551746917
Cod,OtherPelagics,2.052511784
Cod,OtherShrimps,5.470391981
Cod,OtherSkates,0.735454051
Cod,RedHake,3.49701536
Cod,SilverHake,1.96444549
Cod,SmFlatfishes,0.360611502
Cod,SmPelagics,18.25651974
Cod,SpinyDogfish,2.434065179
Cod,Windowpane,1.323205987
Cod,WinterFlounder,1.800388572
Cod,Krill,0.155346625
Fourspot,AmLobster,0.001214753
Fourspot,AtlScallop,0.005533873
Fourspot,BlackSeaBass,0.264208679
Fourspot,Butterfish,1.679462882
Fourspot,Cod,0.040884399
Fourspot,Fourspot,0.02125817
Fourspot,GelZooplankton,0.003171854
Fourspot,Goosefish,0.067486253
Fourspot,Illex,3.145282694
Fourspot,LgCopepods,0.004325869
Fourspot,LittleSkate,0.676887114
Fourspot,Loligo,50.616774
Fourspot,Macrobenthos,2.500474557
Fourspot,Megabenthos,11.72046694
Fourspot,Mesopelagics,0.171415082
Fourspot,Micronekton,4.076096404
Fourspot,OceanPout,0.028344226
Fourspot,OtherCephalopods,3.554866867
Fourspot,OtherDemersals,3.021427629
Fourspot,OtherShrimps,9.407972518
Fourspot,OtherSkates,0.306387587
Fourspot,RedHake,0.174451963
Fourspot,Scup,0.440894437
Fourspot,Sharks,0.011472663
Fourspot,SilverHake,4.234644925
Fourspot,SmFlatfishes,1.019111005
Fourspot,SmPelagics,1.65053582
Fourspot,YTFlounder,0.000141108
Fourspot,Krill,1.154805736
GelZooplankton,RiverHerring,0.01812235
GelZooplankton,AtlMackerel,0.013961573
GelZooplankton,Bacteria,2.024491742
GelZooplankton,Butterfish,1.454685173
GelZooplankton,GelZooplankton,2.226934212
GelZooplankton,Illex,0.016553478
GelZooplankton,LgCopepods,25.30380448
GelZooplankton,Loligo,0.104641174
GelZooplankton,Mesopelagics,0.100372926
GelZooplankton,Micronekton,1.012245371
GelZooplankton,Microzooplankton,5.061229854
GelZooplankton,OtherCephalopods,1.07E-05
GelZooplankton,Phytoplankton,8.604088651
GelZooplankton,SmCopepods,52.63913308
GelZooplankton,SmPelagics,0.24273617
GelZooplankton,AtlMenhaden,0.164743727
GelZooplankton,Detritus,1.012245371
Goosefish,AmLobster,0.005236557
Goosefish,RiverHerring,0.222927692
Goosefish,AtlMackerel,1.53850762
Goosefish,AtlScallop,0.0094311
Goosefish,BlackSeaBass,0.379351116
Goosefish,Butterfish,3.650535894
Goosefish,Cod,0.07480795
Goosefish,Fourspot,0.726460006
Goosefish,GelZooplankton,0.019076027
Goosefish,Goosefish,7.652256032
Goosefish,Illex,5.083599427
Goosefish,LittleSkate,6.818945864
Goosefish,Loligo,11.1603358
Goosefish,Macrobenthos,12.45680324
Goosefish,Megabenthos,0.197379553
Goosefish,Mesopelagics,0.108315111
Goosefish,Micronekton,0.058295455
Goosefish,OceanPout,0.638485856
Goosefish,OtherCephalopods,0.516347877
Goosefish,OtherDemersals,8.95797986
Goosefish,OtherPelagics,5.820806615
Goosefish,OtherShrimps,0.180074719
Goosefish,OtherSkates,3.598332159
Goosefish,RedHake,2.765542132
Goosefish,Scup,5.306689928
Goosefish,SilverHake,0.411131489
Goosefish,SmFlatfishes,0.030816625
Goosefish,SmPelagics,14.90186793
Goosefish,SouthernDemersals,1.560025274
Goosefish,SpinyDogfish,0.503206532
Goosefish,SummerFlounder,2.494845143
Goosefish,Weakfish,0.05984636
Goosefish,Windowpane,0.382085687
Goosefish,WinterFlounder,0.072114864
Goosefish,YTFlounder,0.448847702
Goosefish,Krill,0.00394986
Goosefish,AtlMenhaden,1.175606939
HMS,RiverHerring,0.087253541
HMS,AtlMackerel,0.06722068
HMS,Butterfish,7.003861779
HMS,GelZooplankton,8.348995
HMS,Illex,0.206691133
HMS,Loligo,1.30657759
HMS,Mesopelagics,0.00346
HMS,OtherCephalopods,0.000133277
HMS,SmPelagics,49.19173777
HMS,AtlMenhaden,33.74505223
Illex,RiverHerring,0.019451836
Illex,AtlMackerel,0.014985818
Illex,Butterfish,2.461403346
Illex,GelZooplankton,3.41966
Illex,Illex,0.448960436
Illex,LgCopepods,25.07751
Illex,Loligo,2.838059069
Illex,Macrobenthos,10.258982
Illex,Mesopelagics,0.21009
Illex,Micronekton,48.73016425
Illex,OtherCephalopods,0.000289495
Illex,OtherShrimps,2.22018
Illex,SmPelagics,1.039829513
Illex,Krill,2.56474575
Illex,AtlMenhaden,0.695690087
LgCopepods,GelZooplankton,1.244644
LgCopepods,LgCopepods,8.697376162
LgCopepods,Macrobenthos,0.1209831
LgCopepods,Microzooplankton,6.755866
LgCopepods,Phytoplankton,62.15397
LgCopepods,SmCopepods,18.32479384
LgCopepods,Detritus,2.702347
LittleSkate,AmLobster,0.041615915
LittleSkate,AtlScallop,0.159688086
LittleSkate,BlackSeaBass,0.140393561
