"","NESPP3","COMNAME","SCINAME"
"1",0,"NONE",NA
"2",660,"CATFISH (FRESHWATER)","ICTALURIDAE"
"3",6903,"WHALE, PILOT, SHORT-FINNED","GLOBICEPHALA MACRORHYNCHUS"
"4",6904,"WHALE, PILOT, LONG-FINNED","GLOBICEPHALA MELAS"
"5",6905,"WHALE, DWARF SPERM","KOGIA SIMA"
"6",6909,"WHALE, BEAKED, SOWERBYS","MESOPLODON BIDENS"
"7",6910,"WHALE, BEAKED, TRUES","MESOPLODON MIRUS"
"8",6929,"WHALE, FIN/SEI, NK (BALAENOPTERA)","BALAENOPTERA"
"9",6931,"WHALE, FINBACK","BALAENOPTERA PHYSALUS"
"10",6933,"WHALE, HUMPBACK","MEGAPTERA NOVAEANGLIAE"
"11",6936,"DOLPHIN, WHITE-SIDED","LAGENORHYNCHUS ACUTUS"
"12",6940,"DOLPHIN, COMMON (SADDLEBACK)","DELPHINUS DELPHIS"
"13",6941,"DOLPHIN, BOTTLENOSE","TURSIOPS TRUNCATUS"
"14",6942,"DOLPHIN, RISSOS","GRAMPUS GRISEUS"
"15",6943,"DOLPHIN, SPOTTED, NK","STENELLA"
"16",6944,"DOLPHIN, SPINNER","STENELLA LONGIROSTRIS"
"17",6945,"WHALE, MINKE, COMMON","BALAENOPTERA ACUTOROSTRATA"
"18",6946,"WHALE, RIGHT, NORTHERN","EUBALAENA GLACIALIS"
"19",6948,"WHALE, SPERM","PHYSETER MACROCEPHALUS"
"20",6950,"WHALE, KILLER","ORCINUS ORCA"
"21",6951,"DOLPHIN, WHITE-BEAKED","LAGENORHYNCHUS ALBIROSTRIS"
"22",6952,"DOLPHIN, STRIPED","STENELLA COERULEOALBA"
"23",6953,"WHALE, BEAKED, NK","MESOPLODON"
"24",6954,"WHALE, BEAKED, CUVIERS","ZIPHIUS CAVIROSTRIS"
"25",6960,"PORPOISE, HARBOR","PHOCOENA PHOCOENA"
"26",6980,"WHALE, TOOTHED, NK","ODONTOCETI"
"27",6981,"SEAL, HARP","PAGOPHILUS GROENLANDICUS"
"28",6982,"SEAL, HOODED","CYSTOPHORA CRISTATA"
"29",6991,"MAMMAL, MARINE, NK","MAMMALIA"
"30",6992,"WHALE, PILOT, NK","GLOBICEPHALA"
"31",6993,"WHALE, BALEEN, NK","MYSTICETI"
"32",6994,"SEAL, TRUE, NK","PHOCIDAE"
"33",6995,"SEAL, HARBOR","PHOCA VITULINA CONCOLOR"
"34",6996,"SEAL, GRAY","HALICHOERUS GRYPUS"
"35",6997,"DOLPHIN, NK (MAMMAL)","DELPHINIDAE"
"36",6999,"WHALE, NK (CETACEAN)","CETACEA"
"37",8090,"TURTLE, SEA, GREEN","CHELONIA MYDAS"
"38",8100,"TURTLE, SEA, KEMPS RIDLEY","LEPIDOCHELYS KEMPII"
"39",8120,"TURTLE, SEA, LEATHERBACK","DERMOCHELYS CORIACEA"
"40",8130,"TURTLE, SEA, LOGGERHEAD","CARETTA CARETTA"
"41",8140,"TURTLE, SEA, HAWKSBILL","ERETMOCHELYS IMBRICATA"
"42",8160,"TURTLE, NK","TESTUDINES"
"43",8161,"TURTLE, SEA, NK (HARD-SHELL)","CHELONIIDAE"
"44",524,"FISH, GADIFORM, NK","GADIFORMES"
"45",525,"FISH, PELAGIC, NK",NA
"46",527,"VERTEBRATE, NK (UNCLASSIFIED)","VERTEBRATA"
"47",610,"BIRD, NK","AVES"
"48",611,NA,NA
"49",613,NA,NA
"50",615,"GREBE, NK","PODICIPEDIDAE"
"51",616,NA,NA
"52",617,NA,NA
"53",618,NA,NA
"54",620,"GULL, NK","LARIDAE"
"55",621,"GULL, LITTLE","HYDROCOLOEUS MINUTUS"
"56",631,NA,NA
"57",632,NA,NA
"58",633,"MURRE, NK","URIA"
"59",635,NA,NA
"60",638,NA,NA
"61",639,NA,NA
"62",640,"SHEARWATER, NK","PROCELLARIIDAE"
"63",643,"PETREL, STORM, NK","HYDROBATIDAE"
"64",652,"SCOTER, NK","MELANITTA"
"65",657,NA,NA
"66",665,"SENNET, NORTHERN","SPHYRAENA BOREALIS"
"67",666,"GAPER, REDEYE","CHAUNAX STIGMAEUS"
"68",667,NA,NA
"69",671,"STINGRAY, ROUGHTAIL","DASYATIS CENTROURA"
"70",674,"RAY, COWNOSE","RHINOPTERA BONASUS"
"71",675,"REMORA, NK","ECHENEIDAE"
"72",676,"LOUVAR","LUVARUS IMPERIALIS"
"73",678,"JACK, NK","CARANGIDAE"
"74",679,"WRYMOUTH","CRYPTACANTHODES MACULATUS"
"75",684,NA,NA
"76",685,"STOMACH CONTENTS, NK","FOOD HABITS, UNIDENTIFIED"
"77",687,"SNAIL, MOON, NK","NATICIDAE"
"78",689,"WORM, FLAT, NK","PLATYHELMINTHES"
"79",772,"WHELK, SNOW","BUSYCON LAEOSTOMUM"
"80",773,"WHELK, MELONGENIDAE, NK","MELONGENIDAE"
