NESPP3,COMNAME,SCINAME,Group
0,NONE,NA,NA
660,CATFISH (FRESHWATER),ICTALURIDAE,OtherDemersals
6903,"WHALE, PILOT, SHORT-FINNED",GLOBICEPHALA MACRORHYNCHUS,Odontocetes
6904,"WHALE, PILOT, LONG-FINNED",GLOBICEPHALA MELAS,Odontocetes
6905,"WHALE, DWARF SPERM",KOGIA SIMA,Odontocetes
6909,"WHALE, BEAKED, SOWERBYS",MESOPLODON BIDENS,Odontocetes
6910,"WHALE, BEAKED, TRUES",MESOPLODON MIRUS,Odontocetes
6929,"WHALE, FIN/SEI, NK (BALAENOPTERA)",BALAENOPTERA,BaleenWhales
6931,"WHALE, FINBACK",BALAENOPTERA PHYSALUS,BaleenWhales
6933,"WHALE, HUMPBACK",MEGAPTERA NOVAEANGLIAE,BaleenWhales
6936,"DOLPHIN, WHITE-SIDED",LAGENORHYNCHUS ACUTUS,Odontocetes
6940,"DOLPHIN, COMMON (SADDLEBACK)",DELPHINUS DELPHIS,Odontocetes
6941,"DOLPHIN, BOTTLENOSE",TURSIOPS TRUNCATUS,Odontocetes
6942,"DOLPHIN, RISSOS",GRAMPUS GRISEUS,Odontocetes
6943,"DOLPHIN, SPOTTED, NK",STENELLA,Odontocetes
6944,"DOLPHIN, SPINNER",STENELLA LONGIROSTRIS,Odontocetes
6945,"WHALE, MINKE, COMMON",BALAENOPTERA ACUTOROSTRATA,BaleenWhales
6946,"WHALE, RIGHT, NORTHERN",EUBALAENA GLACIALIS,BaleenWhales
6948,"WHALE, SPERM",PHYSETER MACROCEPHALUS,Odontocetes
6950,"WHALE, KILLER",ORCINUS ORCA,Odontocetes
6951,"DOLPHIN, WHITE-BEAKED",LAGENORHYNCHUS ALBIROSTRIS,Odontocetes
6952,"DOLPHIN, STRIPED",STENELLA COERULEOALBA,Odontocetes
6953,"WHALE, BEAKED, NK",MESOPLODON,Odontocetes
6954,"WHALE, BEAKED, CUVIERS",ZIPHIUS CAVIROSTRIS,Odontocetes
6960,"PORPOISE, HARBOR",PHOCOENA PHOCOENA,Odontocetes
6980,"WHALE, TOOTHED, NK",ODONTOCETI,Odontocetes
6981,"SEAL, HARP",PAGOPHILUS GROENLANDICUS,Pinnipeds
6982,"SEAL, HOODED",CYSTOPHORA CRISTATA,Pinnipeds
6991,"MAMMAL, MARINE, NK",MAMMALIA,Pinnipeds
6992,"WHALE, PILOT, NK",GLOBICEPHALA,Odontocetes
6993,"WHALE, BALEEN, NK",MYSTICETI,BaleenWhales
6994,"SEAL, TRUE, NK",PHOCIDAE,Pinnipeds
6995,"SEAL, HARBOR",PHOCA VITULINA CONCOLOR,Pinnipeds
6996,"SEAL, GRAY",HALICHOERUS GRYPUS,Pinnipeds
6997,"DOLPHIN, NK (MAMMAL)",DELPHINIDAE,Odontocetes
6999,"WHALE, NK (CETACEAN)",CETACEA,Odontocetes
8090,"TURTLE, SEA, GREEN",CHELONIA MYDAS,HMS
8100,"TURTLE, SEA, KEMPS RIDLEY",LEPIDOCHELYS KEMPII,HMS
8120,"TURTLE, SEA, LEATHERBACK",DERMOCHELYS CORIACEA,HMS
8130,"TURTLE, SEA, LOGGERHEAD",CARETTA CARETTA,HMS
8140,"TURTLE, SEA, HAWKSBILL",ERETMOCHELYS IMBRICATA,HMS
8160,"TURTLE, NK",TESTUDINES,HMS
8161,"TURTLE, SEA, NK (HARD-SHELL)",CHELONIIDAE,HMS
524,"FISH, GADIFORM, NK",GADIFORMES,OtherDemersals
525,"FISH, PELAGIC, NK",NA,SmPelagics
527,"VERTEBRATE, NK (UNCLASSIFIED)",VERTEBRATA,SmPelagics
610,"BIRD, NK",AVES,SeaBirds
611,NA,NA,NA
613,NA,NA,NA
615,"GREBE, NK",PODICIPEDIDAE,SeaBirds
616,NA,NA,NA
617,NA,NA,NA
618,NA,NA,NA
620,"GULL, NK",LARIDAE,SeaBirds
621,"GULL, LITTLE",HYDROCOLOEUS MINUTUS,SeaBirds
631,NA,NA,NA
632,NA,NA,NA
633,"MURRE, NK",URIA,SeaBirds
635,NA,NA,NA
638,NA,NA,NA
639,NA,NA,NA
640,"SHEARWATER, NK",PROCELLARIIDAE,SeaBirds
643,"PETREL, STORM, NK",HYDROBATIDAE,SeaBirds
652,"SCOTER, NK",MELANITTA,SeaBirds
657,NA,NA,NA
665,"SENNET, NORTHERN",SPHYRAENA BOREALIS,SmPelagics
666,"GAPER, REDEYE",CHAUNAX STIGMAEUS,SouthernDemersals
667,NA,NA,NA
671,"STINGRAY, ROUGHTAIL",DASYATIS CENTROURA,OtherSkates
674,"RAY, COWNOSE",RHINOPTERA BONASUS,OtherSkates
675,"REMORA, NK",ECHENEIDAE,OtherDemersals
676,LOUVAR,LUVARUS IMPERIALIS,SouthernDemersals
678,"JACK, NK",CARANGIDAE,OtherPelagics
679,WRYMOUTH,CRYPTACANTHODES MACULATUS,OtherDemersals
684,NA,NA,NA
685,"STOMACH CONTENTS, NK","FOOD HABITS, UNIDENTIFIED",Macrobenthos
687,"SNAIL, MOON, NK",NATICIDAE,Macrobenthos
689,"WORM, FLAT, NK",PLATYHELMINTHES,Macrobenthos
772,"WHELK, SNOW",BUSYCON LAEOSTOMUM,Macrobenthos
773,"WHELK, MELONGENIDAE, NK",MELONGENIDAE,Macrobenthos
