"","pred","prey","prop"
"Bacteria","Bacteria","Phytoplankton",43.05193
"Bacteria.57","Bacteria","Detritus",56.94807
"Microzooplankton","Microzooplankton","Phytoplankton",21.17425
"Microzooplankton.1","Microzooplankton","Bacteria",19.71663
"Microzooplankton.2","Microzooplankton","Microzooplankton",9.702543
"Microzooplankton.57","Microzooplankton","Detritus",49.40658
"GelZooplankton","GelZooplankton","Phytoplankton",8.602893
"GelZooplankton.1","GelZooplankton","Bacteria",2.000673
"GelZooplankton.2","GelZooplankton","Microzooplankton",5.001682
"GelZooplankton.3","GelZooplankton","GelZooplankton",4.867304
"GelZooplankton.4","GelZooplankton","LgCopepods",29.6671671814731
"GelZooplankton.5","GelZooplankton","SmCopepods",39.3560628185268
"GelZooplankton.6","GelZooplankton","Micronekton",0.4059562
"GelZooplankton.7","GelZooplankton","Illex",0.00828379947229551
"GelZooplankton.8","GelZooplankton","Loligo",0.000896200527704485
"GelZooplankton.13","GelZooplankton","SmPelagics",0.0414036884615385
"GelZooplankton.17","GelZooplankton","RiverHerring",0.00816490769230769
"GelZooplankton.20","GelZooplankton","AtlHerring",0.0285108428191489
"GelZooplankton.21","GelZooplankton","Mesopelagics",0.000291603846153846
"GelZooplankton.26","GelZooplankton","AtlMackerel",0.00572123936170213
"GelZooplankton.49","GelZooplankton","Butterfish",0.00162101781914894
"GelZooplankton.57","GelZooplankton","Detritus",10.00336
"LgCopepods","LgCopepods","Phytoplankton",63.17893
"LgCopepods.1","LgCopepods","Bacteria",1
"LgCopepods.2","LgCopepods","Microzooplankton",3.287973
"LgCopepods.3","LgCopepods","GelZooplankton",2.392604
"LgCopepods.4","LgCopepods","LgCopepods",12.76366
"LgCopepods.5","LgCopepods","SmCopepods",10.97328
"LgCopepods.10","LgCopepods","Macrobenthos",0.207612
"LgCopepods.57","LgCopepods","Detritus",6.195949
"SmCopepods","SmCopepods","Phytoplankton",72.40587
"SmCopepods.1","SmCopepods","Bacteria",3
"SmCopepods.2","SmCopepods","Microzooplankton",8.33734
"SmCopepods.4","SmCopepods","LgCopepods",0.131809700429625
"SmCopepods.5","SmCopepods","SmCopepods",3.06819029957037
"SmCopepods.57","SmCopepods","Detritus",13.0568
"Micronekton","Micronekton","Phytoplankton",18.24
"Micronekton.4","Micronekton","LgCopepods",30.1844213983841
"Micronekton.5","Micronekton","SmCopepods",28.5355886016159
"Micronekton.6","Micronekton","Micronekton",3.79320475995076
"Micronekton.56","Micronekton","Krill",0.846795240049241
"Micronekton.57","Micronekton","Detritus",18.4
"Illex.4","Illex","LgCopepods",8.28783972444491
"Illex.5","Illex","SmCopepods",1.77253027555509
"Illex.6","Illex","Micronekton",57.8890758022158
"Illex.7","Illex","Illex",1.92317248021108
"Illex.8","Illex","Loligo",0.208062519788918
"Illex.10","Illex","Macrobenthos",16.767277
"Illex.13","Illex","SmPelagics",0.715983743589744
"Illex.15","Illex","NShrimp",0.7085955
"Illex.16","Illex","OtherShrimps",1.6533895
"Illex.17","Illex","RiverHerring",0.135639682051282
"Illex.20","Illex","AtlHerring",0.599232579787234
"Illex.21","Illex","Mesopelagics",0.00484427435897436
"Illex.26","Illex","AtlMackerel",0.120247340425532
"Illex.49","Illex","Butterfish",0.034070079787234
"Illex.56","Illex","Krill",9.18003419778416
"Loligo.4","Loligo","LgCopepods",8.28783972444491
"Loligo.5","Loligo","SmCopepods",1.77253027555509
"Loligo.6","Loligo","Micronekton",57.8890758022158
"Loligo.7","Loligo","Illex",1.92317248021108
"Loligo.8","Loligo","Loligo",0.208062519788918
"Loligo.10","Loligo","Macrobenthos",16.767277
"Loligo.13","Loligo","SmPelagics",0.715983743589744
"Loligo.15","Loligo","NShrimp",0.7085955
"Loligo.16","Loligo","OtherShrimps",1.6533895
"Loligo.17","Loligo","RiverHerring",0.135639682051282
"Loligo.20","Loligo","AtlHerring",0.599232579787234
"Loligo.21","Loligo","Mesopelagics",0.00484427435897436
"Loligo.26","Loligo","AtlMackerel",0.120247340425532
"Loligo.49","Loligo","Butterfish",0.034070079787234
"Loligo.56","Loligo","Krill",9.18003419778416
"OtherCephalopods.4","OtherCephalopods","LgCopepods",8.28783972444491
"OtherCephalopods.5","OtherCephalopods","SmCopepods",1.77253027555509
"OtherCephalopods.6","OtherCephalopods","Micronekton",57.8890758022158
"OtherCephalopods.7","OtherCephalopods","Illex",1.92317248021108
"OtherCephalopods.8","OtherCephalopods","Loligo",0.208062519788918
"OtherCephalopods.10","OtherCephalopods","Macrobenthos",16.767277
"OtherCephalopods.13","OtherCephalopods","SmPelagics",0.715983743589744
"OtherCephalopods.15","OtherCephalopods","NShrimp",0.7085955
"OtherCephalopods.16","OtherCephalopods","OtherShrimps",1.6533895
"OtherCephalopods.17","OtherCephalopods","RiverHerring",0.135639682051282
"OtherCephalopods.20","OtherCephalopods","AtlHerring",0.599232579787234
"OtherCephalopods.21","OtherCephalopods","Mesopelagics",0.00484427435897436
"OtherCephalopods.26","OtherCephalopods","AtlMackerel",0.120247340425532
"OtherCephalopods.49","OtherCephalopods","Butterfish",0.034070079787234
"OtherCephalopods.56","OtherCephalopods","Krill",9.18003419778416
"Macrobenthos","Macrobenthos","Phytoplankton",20.5095001325626
"Macrobenthos.1","Macrobenthos","Bacteria",22.6451309435138
"Macrobenthos.4","Macrobenthos","LgCopepods",0.192215179288384
"Macrobenthos.5","Macrobenthos","SmCopepods",0.0381268567769625
"Macrobenthos.6","Macrobenthos","Micronekton",4.74352444709178
"Macrobenthos.10","Macrobenthos","Macrobenthos",7.2683179283331
"Macrobenthos.11","Macrobenthos","AmLobster",0.0089214695990321
"Macrobenthos.12","Macrobenthos","OceanPout",0.000967852137192197
"Macrobenthos.18","Macrobenthos","AtlScallop",0.00216530559142726
"Macrobenthos.22","Macrobenthos","YTFlounder",0.000891442757940181
"Macrobenthos.23","Macrobenthos","Cod",0.0524725596141716
"Macrobenthos.24","Macrobenthos","Haddock",0.0317098923895865
"Macrobenthos.25","Macrobenthos","AmPlaice",0.0120217423356504
"Macrobenthos.27","Macrobenthos","AtlHalibut",1.78070148676534e-06
"Macrobenthos.28","Macrobenthos","SummerFlounder",5.09395861680104e-05
"Macrobenthos.29","Macrobenthos","Cusk",0.00506848882371703
"Macrobenthos.30","Macrobenthos","OtherDemersals",0.00555241489231313
"Macrobenthos.32","Macrobenthos","OtherSkates",0.00918401455596846
"Macrobenthos.33","Macrobenthos","RedHake",0.0106209037160302
"Macrobenthos.35","Macrobenthos","Fourspot",2.73489654200259e-05
"Macrobenthos.42","Macrobenthos","Redfish",0.00025764854313029
"Macrobenthos.43","Macrobenthos","LittleSkate",0.00137536882653628
"Macrobenthos.45","Macrobenthos","Windowpane",0.000203758344672041
"Macrobenthos.46","Macrobenthos","WinterFlounder",0.000445100136064498
"Macrobenthos.47","Macrobenthos","WitchFlounder",0.00430439503119688
"Macrobenthos.48","Macrobenthos","BlackSeaBass",1.42681520476037e-05
"Macrobenthos.51","Macrobenthos","WinterSkate",0.00310731475624863
"Macrobenthos.55","Macrobenthos","Megabenthos",0.528863883465916
"Macrobenthos.56","Macrobenthos","Krill",1.05894465947751
"Macrobenthos.57","Macrobenthos","Detritus",42.8659863108092
"AmLobster.1","AmLobster","Bacteria",14.18395
"AmLobster.4","AmLobster","LgCopepods",0.411905313842578
"AmLobster.5","AmLobster","SmCopepods",0.588094686157422
"AmLobster.10","AmLobster","Macrobenthos",61.061137
"AmLobster.11","AmLobster","AmLobster",0.0971899560627675
"AmLobster.12","AmLobster","OceanPout",0.00312775820556502
"AmLobster.18","AmLobster","AtlScallop",0.0125196587704064
"AmLobster.22","AmLobster","YTFlounder",0.00288082992617831
"AmLobster.23","AmLobster","Cod",0.164394834042553
"AmLobster.24","AmLobster","Haddock",0.102475235945486
"AmLobster.25","AmLobster","AmPlaice",0.038850049290176
"AmLobster.27","AmLobster","AtlHalibut",0.00125876595744681
"AmLobster.28","AmLobster","SummerFlounder",0.000164618852924475
"AmLobster.29","AmLobster","Cusk",0.0163795758659852
"AmLobster.30","AmLobster","OtherDemersals",0.0179434549687677
"AmLobster.32","AmLobster","OtherSkates",0.0861921140733399
"AmLobster.33","AmLobster","RedHake",0.034323030834753
"AmLobster.35","AmLobster","Fourspot",0.000411547132311187
"AmLobster.42","AmLobster","Redfish",0.0363807664963089
"AmLobster.43","AmLobster","LittleSkate",0.00444470902896082
"AmLobster.45","AmLobster","Windowpane",0.000658475411697899
"AmLobster.46","AmLobster","WinterFlounder",0.00790170494037479
"AmLobster.47","AmLobster","WitchFlounder",0.0139102930721181
"AmLobster.48","AmLobster","BlackSeaBass",0.00017118592666006
"AmLobster.51","AmLobster","WinterSkate",0.010041750028393
"AmLobster.55","AmLobster","Megabenthos",5.01873318516683
"AmLobster.57","AmLobster","Detritus",18.084539
"OceanPout.3","OceanPout","GelZooplankton",0.0247786685020276
"OceanPout.4","OceanPout","LgCopepods",0.000104071040579067
"OceanPout.5","OceanPout","SmCopepods",2.22577989401542e-05
"OceanPout.6","OceanPout","Micronekton",0.145337308162235
"OceanPout.10","OceanPout","Macrobenthos",79.5516700200626
"OceanPout.13","OceanPout","SmPelagics",0.123608274623208
"OceanPout.16","OceanPout","OtherShrimps",0.0208182357260139
"OceanPout.18","OceanPout","AtlScallop",6.77142688346169
"OceanPout.55","OceanPout","Megabenthos",13.3591115452638
"OceanPout.56","OceanPout","Krill",0.00312273535890209
"SmPelagics","SmPelagics","Phytoplankton",16.56693
"SmPelagics.3","SmPelagics","GelZooplankton",2.177701
"SmPelagics.4","SmPelagics","LgCopepods",55.7221389513101
"SmPelagics.5","SmPelagics","SmCopepods",19.9971420486899
"SmPelagics.6","SmPelagics","Micronekton",4.36175051148954
"SmPelagics.10","SmPelagics","Macrobenthos",0.365503
"SmPelagics.56","SmPelagics","Krill",0.808820488510464
"SmFlatfishes.6","SmFlatfishes","Micronekton",32.832583972494
"SmFlatfishes.10","SmFlatfishes","Macrobenthos",67.167416027506
"NShrimp","NShrimp","Phytoplankton",7.548419
"NShrimp.1","NShrimp","Bacteria",44.73137
"NShrimp.6","NShrimp","Micronekton",12.3416821871153
"NShrimp.10","NShrimp","Macrobenthos",11.2991654
"NShrimp.15","NShrimp","NShrimp",0.03775146
"NShrimp.16","NShrimp","OtherShrimps",0.08808674
"NShrimp.56","NShrimp","Krill",2.75515781288469
"NShrimp.57","NShrimp","Detritus",21.198369
"OtherShrimps","OtherShrimps","Phytoplankton",7.548419
"OtherShrimps.1","OtherShrimps","Bacteria",44.73137
"OtherShrimps.6","OtherShrimps","Micronekton",12.3416821871153
"OtherShrimps.10","OtherShrimps","Macrobenthos",11.2991654
"OtherShrimps.15","OtherShrimps","NShrimp",0.03775146
"OtherShrimps.16","OtherShrimps","OtherShrimps",0.08808674
"OtherShrimps.56","OtherShrimps","Krill",2.75515781288469
"OtherShrimps.57","OtherShrimps","Detritus",21.198369
