Group,Biomass,PB,QB,Diet
AmLobster,0.2,0.5,0.5,0.8
AtlCroaker,0.2,0.5,0.5,0.8
AtlMackerel,0.8,0.6,0.5,0.4
AtlMenhaden,0.5,0.8,0.8,0.8
AtlScallop,0.8,0.5,0.5,0.8
Bacteria,0.8,0.8,0.8,0.8
BaleenWhales,0.6,0.8,0.8,0.8
BlackSeaBass,0.8,0.6,0.6,0.4
Bluefish,0.8,0.6,0.8,0.8
Butterfish,0.2,0.5,0.5,0.8
Cod,0.2,0.6,0.6,0.8
Detritus,0.8,0.8,0.8,0.8
Fourspot,0.5,0.6,0.6,0.8
GelZooplankton,0.7,0.8,0.8,0.8
Goosefish,0.8,0.6,0.6,0.8
HMS,0.8,0.8,0.8,0.8
Illex,0.2,0.8,0.8,0.8
Krill,0.8,0.6,0.6,0.8
LgCopepods,0.5,0.7,0.7,0.8
LittleSkate,0.8,0.6,0.6,0.8
Loligo,0.2,0.8,0.8,0.8
Macrobenthos,0.8,0.8,0.8,0.8
Megabenthos,0.8,0.8,0.8,0.8
Mesopelagics,0.8,0.8,0.8,0.8
Micronekton,0.6,0.8,0.8,0.8
Microzooplankton,0.8,0.8,0.8,0.8
OceanPout,0.8,0.6,0.6,0.4
Odontocetes,0.8,0.7,0.8,0.8
OtherCephalopods,0.8,0.8,0.8,0.8
OtherDemersals,0.8,0.8,0.8,0.8
OtherPelagics,0.8,0.8,0.8,0.8
OtherShrimps,0.8,0.8,0.8,0.8
OtherSkates,0.8,0.8,0.8,0.8
Phytoplankton,0.5,0.2,0,0
RedHake,0.2,0.6,0.6,0.8
RiverHerring,0.8,0.5,0.5,0.4
Scup,0.8,0.6,0.6,0.8
SeaBirds,0.8,0.7,0.8,0.8
Sharks,0.8,0.8,0.8,0.8
SilverHake,0.8,0.6,0.6,0.8
SmCopepods,0.5,0.7,0.7,0.8
SmFlatfishes,0.8,0.8,0.8,0.8
SmoothDogfish,0.2,0.8,0.8,0.4
SmPelagics,0.8,0.8,0.8,0.8
SouthernDemersals,0.2,0.8,0.8,0.8
SpinyDogfish,0.7,0.6,0.6,0.8
SummerFlounder,0.8,0.6,0.6,0.8
Weakfish,0.5,0.5,0.5,0.8
Windowpane,0.8,0.6,0.5,0.8
WinterFlounder,0.8,0.6,0.6,0.4
WinterSkate,0.8,0.6,0.6,0.8
YTFlounder,0.8,0.6,0.6,0.4
