"","group","D","p","EPU"
"1","Phytoplankton","0.325615050651231",4.626591126373e-64,"GOM"
"2","Bacteria","0.0542691751085384",0.0341481819973614,"GOM"
"3","Microzooplankton","0.0795947901591895",0.000315207395632474,"GOM"
"4","GelZooplankton","0.040520984081042",0.206566279615686,"GOM"
"5","LgCopepods","0.060781476121563",0.0121248642697993,"GOM"
"6","SmCopepods","0.118668596237337",7.0622467299476e-09,"GOM"
"7","Micronekton","0.0448625180897251",0.123864545388336,"GOM"
"8","Illex","0.0426917510853835",0.161026070059524,"GOM"
"9","Loligo","0.0477568740955138",0.0855302860887045,"GOM"
"10","OtherCephalopods","0.0361794500723589",0.326216683081837,"GOM"
"11","Macrobenthos","0.0383502170767005",0.261410101331845,"GOM"
"12","AmLobster","0.0347322720694646",0.375033779043729,"GOM"
"13","OceanPout","0.032561505065123",0.456340398601948,"GOM"
"14","SmPelagics","0.0600578871201159",0.0136822244969687,"GOM"
"15","SmFlatfishes","0.0246020260492041",0.797088870843436,"GOM"
"16","NShrimp","0.0361794500723589",0.326216683081837,"GOM"
"17","OtherShrimps","0.0520984081041969",0.0469838587063016,"GOM"
"18","RiverHerring","0.0224312590448625",0.877686138051232,"GOM"
"19","AtlScallop","0.0492040520984082",0.0704556329936575,"GOM"
"20","OtherPelagics","0.0347322720694646",0.375033779043729,"GOM"
"21","AtlHerring","0.048480463096961",0.0776842720875896,"GOM"
"22","Mesopelagics","0.0246020260492041",0.797088870843436,"GOM"
"23","YTFlounder","0.020260492040521",0.939218679316448,"GOM"
"24","Cod","0.05643994211288",0.0244978445699833,"GOM"
"25","Haddock","0.0426917510853835",0.161026070059524,"GOM"
"26","AmPlaice","0.0296671490593343",0.577235557969077,"GOM"
"27","AtlMackerel","0.0260492040520984",0.736445809662537,"GOM"
"28","AtlHalibut","0.0289435600578871",0.608958477438512,"GOM"
"29","SummerFlounder","0.0499276410998553",0.0638069901310596,"GOM"
"30","Cusk","0.0369030390738061",0.303497819855999,"GOM"
"31","OtherDemersals","0.0441389290882779",0.135384281939988,"GOM"
"32","HMS","0.0267727930535456",0.704945084243479,"GOM"
"33","OtherSkates","0.0376266280752533",0.281912359407476,"GOM"
"34","RedHake","0.0636758321273517",0.00737008457928853,"GOM"
"35","Barndoor","0.032561505065123",0.456340398601948,"GOM"
"36","Fourspot","0.0253256150506512",0.767257763274511,"GOM"
"37","SmoothDogfish","0.0296671490593343",0.577235557969077,"GOM"
"38","Pollock","0.0224312590448625",0.877686138051232,"GOM"
"39","Goosefish","0.0224312590448625",0.877686138051232,"GOM"
"40","SilverHake","0.02821997105644",0.640958799090307,"GOM"
"41","WhiteHake","0.0383502170767005",0.261410101331845,"GOM"
"42","SpinyDogfish","0.0419681620839364",0.175225717331643,"GOM"
"43","Redfish","0.0347322720694646",0.375033779043729,"GOM"
"44","LittleSkate","0.0434153400868307",0.147758360847946,"GOM"
"45","SeaBirds","0.0318379160636759",0.485402867128,"GOM"
"46","Windowpane","0.0296671490593343",0.577235557969077,"GOM"
"47","WinterFlounder","0.040520984081042",0.206566279615686,"GOM"
"48","WitchFlounder","0.0274963820549928",0.673031221056047,"GOM"
"49","BlackSeaBass","0.0274963820549928",0.673031221056047,"GOM"
"50","Butterfish","0.040520984081042",0.206566279615686,"GOM"
"51","Sharks","0.0274963820549928",0.673031221056047,"GOM"
"52","WinterSkate","0.0448625180897251",0.123864545388336,"GOM"
"53","Pinnipeds","0.040520984081042",0.206566279615686,"GOM"
"54","BaleenWhales","0.0238784370477569",0.825637290366393,"GOM"
"55","Odontocetes","0.0477568740955138",0.0855302860887045,"GOM"
"56","Megabenthos","0.048480463096961",0.0776842720875896,"GOM"
"57","Krill","0.020260492040521",0.939218679316448,"GOM"
"58","Detritus","0.0513748191027497",0.0521056099135314,"GOM"
"59","SeaBirds","0.0561889250814332",0.0414238890058466,"GB"
"60","Pinnipeds","0.0317589576547231",0.565503871909344,"GB"
"61","BaleenWhales","0.0390879478827362",0.305253570794347,"GB"
"62","Odontocetes","0.0268729641693811",0.767011143087368,"GB"
"63","HMS","0.0317589576547231",0.565503871909344,"GB"
"64","Sharks","0.0439739413680782",0.185954791912454,"GB"
"65","AtlHerring","0.0521172638436482",0.0711900077093123,"GB"
